,0
0,1.0
1,0.9978734496235847
2,0.9900953273175574
3,1.0117631466675714
4,1.0055589318752078
5,1.0151347707643523
6,1.0054238981217412
7,0.9744671724751006
8,0.9912187875274795
9,1.0002136436210665
10,1.0287038629339975
11,1.0278883148869302
12,1.0318653948476613
13,1.0372237766506047
14,1.0243983248606376
15,1.0387271049007276
16,1.0217097292948814
17,1.005927461215901
18,1.0008052298014556
19,1.0293325988307205
20,1.0923639907206073
21,1.0974792984325457
22,1.110050635097572
23,1.0573442313166186
24,1.014943250200579
25,1.0214866533602758
26,1.0802306468509937
27,1.1330342751848146
28,1.1466491954561056
29,1.1381369138978372
30,1.1506696888668475
31,1.1052074103327536
32,1.1186649708936647
33,1.0824955364718032
34,1.0494403089139557
35,1.1074092161831366
36,1.107623941461225
37,1.086076283723985
38,1.0749129582655736
39,1.0428710005503616
40,1.07339297763833
41,1.0632495430674127
42,1.1007030849310104
43,1.0733239180683256
44,1.0196388923638016
45,1.0034650834343524
46,1.0383502756570804
47,1.0079131923195999
48,1.0025372014199616
49,0.986715334340272
50,1.0262690775189605
51,1.0500851612399393
