TSLA,MSFT,CL=F
21.368667602539062,80.94039916992188,60.369998931884766
21.149999618530273,81.31707000732422,61.630001068115234
20.974666595458984,82.03279113769531,62.0099983215332
21.10533332824707,83.04981994628906,61.439998626708984
22.42733383178711,83.13458251953125,61.72999954223633
22.246000289916992,83.07808685302734,62.959999084472656
22.31999969482422,82.701416015625,63.56999969482422
22.530000686645508,82.94624328613281,63.79999923706055
22.4146671295166,84.37765502929688,64.30000305175781
22.67066764831543,83.20050811767578,63.72999954223633
23.143999099731445,84.88617706298828,63.970001220703125
22.971332550048828,84.84850311279297,63.95000076293945
23.334667205810547,84.75432586669922,63.369998931884766
23.437332153320312,86.27049255371094,63.4900016784668
23.519332885742188,86.54358673095703,64.47000122070312
23.05933380126953,86.46826171875,65.61000061035156
22.50933265686035,86.94852447509766,65.51000213623047
22.856666564941406,88.57770538330078,66.13999938964844
23.302000045776367,88.44585418701172,65.55999755859375
23.05466651916504,87.33460998535156,64.5
23.62066650390625,89.4723129272461,64.7300033569336
23.28333282470703,88.76602935791016,65.80000305175781
22.916667938232422,86.43059539794922,65.44999694824219
22.208667755126953,82.87089538574219,64.1500015258789
22.264667510986328,86.00680541992188,63.38999938964844
23.0,84.38706970214844,61.790000915527344
21.01533317565918,80.05517578125,61.150001525878906
20.69466781616211,83.04041290283203,59.20000076293945
21.048667907714844,83.93505096435547,59.290000915527344
21.577333450317383,84.59425354003906,59.189998626708984
21.487333297729492,85.91883087158203,60.599998474121094
22.271333694458008,87.66919708251953,61.34000015258789
22.365999221801758,87.04475402832031,61.68000030517578
22.31800079345703,87.72596740722656,61.900001525878906
22.219999313354492,86.56220245361328,61.68000030517578
23.077999114990234,86.78929138183594,62.77000045776367
23.469999313354492,88.99380493164062,63.54999923706055
23.827999114990234,90.2805404663086,63.90999984741211
23.39933204650879,89.1262435913086,63.0099983215332
22.87066650390625,88.71940612792969,61.63999938964844
22.062000274658203,87.84896850585938,60.9900016784668
22.341333389282227,88.03819274902344,61.25
22.22333335876465,88.59640502929688,62.56999969482422
21.8799991607666,88.29364013671875,62.599998474121094
22.15333366394043,88.80457305908203,61.150001525878906
21.940000534057617,89.3438491821289,60.119998931884766
21.81133270263672,91.34019470214844,62.040000915527344
23.034000396728516,91.55783081054688,61.36000061035156
22.78933334350586,89.324951171875,60.709999084472656
21.775333404541016,88.79508972167969,60.959999084472656
21.706666946411133,89.10733032226562,61.189998626708984
21.42333221435547,89.50470733642578,62.34000015258789
20.90399932861328,87.88679504394531,62.060001373291016
20.703332901000977,88.11388397216797,63.400001525878906
21.101999282836914,87.49890899658203,65.16999816894531
20.606666564941406,84.95376586914062,64.30000305175781
20.1026668548584,82.48434448242188,65.87999725341797
20.278667449951172,88.72887420654297,65.55000305175781
18.61199951171875,84.65100860595703,65.25
17.185333251953125,84.5753173828125,64.37999725341797
17.742000579833984,86.35404968261719,64.94000244140625
16.832000732421875,83.7521743774414,63.0099983215332
17.8353328704834,84.87808990478516,63.5099983215332
19.12933349609375,87.3569564819336,63.369998931884766
20.381332397460938,87.40428161621094,63.540000915527344
19.953332901000977,85.37007904052734,62.060001373291016
19.310667037963867,85.8809814453125,63.41999816894531
20.31333351135254,87.8773422241211,65.51000213623047
20.062000274658203,86.91226959228516,66.81999969482422
19.60533332824707,88.53963470458984,67.06999969482422
20.022666931152344,88.06658935546875,67.38999938964844
19.413999557495117,89.09786224365234,66.22000122070312
19.179332733154297,90.8955307006836,66.5199966430664
19.55666732788086,91.24559020996094,68.47000122070312
20.005332946777344,90.93338012695312,68.29000091552734
19.349332809448242,89.88317108154297,68.37999725341797
18.891332626342773,90.21432495117188,68.63999938964844
18.8973331451416,88.10442352294922,67.69999694824219
18.71266746520996,87.33804321289062,68.05000305175781
19.031999588012695,89.18301391601562,68.19000244140625
19.60533332824707,90.65898895263672,68.0999984741211
